"","label","spotify_id","title","artist","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo"
28,"sensual","3u7WB6o8qiJCsAgLZ6fiWW","Love","DJ DLG",0,1,0.00323,0.762,0.8009999999999999,0.39899999999999997,0.221,-5.246,0.376,0.6,126.05799999999999
29,"somber","54Yappwod1fELR5zb2gDBn","Morning","Marc E. Bassy",10,1,0.563,0.462,0.43799999999999994,0.0,0.18100000000000002,-8.227,0.0953,0.342,107.36399999999999
30,"sensual","5UUFpYshfQEI6bvLYf5o0X","Simp Detector","Yung Nugget",11,0,0.262,0.852,0.7340000000000001,0.0,0.182,-6.782,0.355,0.627,136.283
31,"somber","5Db9VIdDsN5yu3Eu7CT0i4","Stay With Me","Sam Smith",0,1,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,0.18600000000000003,85.014
32,"sensual","428IK8fDAscfRpmavVKJkN","Georgia","Boz Scaggs",0,1,0.126,0.447,0.7959999999999999,0.0259,0.297,-6.17,0.0307,0.716,136.01
33,"somber","48WTGGIeSFD5ZMF51Rm4Y9","Another Lifetime","Nao",9,0,0.415,0.452,0.317,1.4999999999999999e-05,0.184,-9.402999999999999,0.0478,0.272,59.56100000000001
34,"aggressive","1kB0EodRXnYykSHZZOPnf6","Trouble In Mind","Larkin Poe",2,1,1.88e-05,0.5539999999999999,0.971,0.00278,0.243,-4.581,0.0874,0.376,121.029
35,"serious","5y4Ju4OyxcAo2GTrlt2w4a","Anxxiety","SayWeCanFly",1,0,0.175,0.5579999999999999,0.725,0.000166,0.18,-6.229,0.0992,0.473,150.885
36,"peaceful","48O0GrGJWml3DzHhC5sJ7a","Karma Chameleon","Culture Club",10,1,0.18600000000000003,0.6759999999999999,0.5770000000000001,0.0,0.14800000000000002,-12.030999999999999,0.0365,0.934,91.98
37,"somber","5MeUMSRreLHYLhw8ZTyqpk","Renee","SALES",9,1,0.755,0.924,0.386,0.00253,0.11800000000000001,-8.183,0.0548,0.424,108.95700000000001
38,"sensual","022k1qYIMWV20yW7tjiBv5","Play God","Sam Fender",10,0,0.131,0.7,0.677,0.0491,0.121,-7.206,0.0458,0.614,94.38799999999999
39,"peaceful","7e89621JPkKaeDSTQ3avtg","Sweet Home Alabama","Lynyrd Skynyrd",7,1,0.18100000000000002,0.596,0.605,0.000331,0.0863,-12.145,0.0255,0.8859999999999999,97.79799999999999
40,"somber","7MXVkk9YMctZqd1Srtv4MB","Starboy","The Weeknd",7,1,0.141,0.679,0.5870000000000001,6.35e-06,0.13699999999999998,-7.015,0.276,0.486,186.003
41,"somber","3G9zeErd0kMx012kmYUrm7","Lose My Cool","Amber Mark",3,1,0.564,0.7170000000000001,0.48200000000000004,0.00023500000000000002,0.0921,-8.071,0.0465,0.321,103.006
42,"somber","6Vigp41BietH0WoFZ52JI5","All We Do","Oh Wonder",10,0,0.978,0.59,0.242,0.000124,0.0906,-11.724,0.0516,0.366,126.721
43,"somber","28JEXZTw5FqyTQxLz3WLMK","Close Isn't Enough","daena",10,1,0.131,0.5710000000000001,0.516,5.88e-06,0.10400000000000001,-9.995,0.0281,0.23,129.983
44,"sentimental","3BjQX42wrf1Ie1AopSnUGV","Personal Lies","Djo",0,1,0.0102,0.618,0.546,0.00040300000000000004,0.293,-8.015,0.0269,0.5760000000000001,110.04899999999999
45,"peaceful","11xILcyUmIjr2XpM6mpEvA","Play Too Much","Kyle Dion",9,0,0.456,0.877,0.452,4.37e-06,0.139,-5.773,0.0898,0.89,110.021
46,"somber","3P23kcmBXrFyGmbthN3DLK","Pop Tarts","Easy Life",4,1,0.655,0.635,0.361,0.000534,0.512,-10.161,0.0595,0.243,137.034
47,"somber","3wD5R5grD04FKW0zsBuiKy","for life","Zachary Knowles",6,1,0.716,0.7040000000000001,0.295,1.56e-05,0.133,-11.083,0.0387,0.42700000000000005,130.011
48,"sensual","1Opks4WxGK1c1KvjJ1OlL9","Ça fait des années","Soolking",10,0,0.46299999999999997,0.779,0.778,0.0,0.085,-6.816,0.0981,0.516,96.959
49,"somber","56tlF6T9mYOLOmdBJR5sw0","Blecke","Focalistic",2,1,0.142,0.898,0.568,1.2e-05,0.225,-7.989,0.107,0.28600000000000003,113.036
50,"sensual","17XU1PTSv4OfcBUE8rNYWm","Kiss Somebody","Julie Bergan",11,1,0.0436,0.685,0.75,0.0,0.272,-4.8180000000000005,0.0837,0.688,105.054
51,"somber","3gAaDDoBipWZzGBMwK194e","Last Time I Say Sorry","Kane Brown",9,1,0.856,0.263,0.39299999999999996,0.0,0.0975,-7.7829999999999995,0.0291,0.205,86.806
52,"serious","7egj375ez0KtF3bYCfAHdZ","Crashing (feat. Bahari)","ILLENIUM",5,1,0.342,0.5820000000000001,0.6809999999999999,0.0,0.18600000000000003,-6.138,0.0458,0.273,95.995
53,"aggressive","0z4kyKuFGmUV7WQ7gB1sAp","Goliath","Smith & Thell",9,1,0.000414,0.528,0.833,1.23e-06,0.068,-6.19,0.0514,0.46,127.99799999999999
54,"sentimental","636Tfd3B6teJFB3L6ToVkC","Move You","Night Tales",4,0,0.0635,0.809,0.46399999999999997,0.0234,0.8370000000000001,-12.74,0.0577,0.505,118.008
55,"somber","128Mqrtw03Mo3eR9bOwJsx","Grapefruit","Yuno",1,1,0.253,0.606,0.5920000000000001,0.695,0.0966,-9.709,0.0256,0.0812,99.993
56,"sentimental","6tCV8RZVP7zW59Ybxj6COL","Boomin (feat. Missy Elliott & Future)","Teyana Taylor",0,1,0.359,0.5479999999999999,0.39799999999999996,0.0,0.29100000000000004,-8.187000000000001,0.293,0.579,127.899
57,"somber","5NnbiOsYsnSMFWVj4BRr1t","Fly","Adam Harison",11,0,0.33799999999999997,0.507,0.617,0.0,0.31,-9.107000000000001,0.209,0.295,159.681
58,"sensual","5kw26mUxULwbgynbnVdZdk","Dominican Mami (feat. Fivio Foreign)","DaniLeigh",6,1,0.35,0.8320000000000001,0.71,0.0,0.09,-3.488,0.13699999999999998,0.7609999999999999,140.985
59,"somber","11MNmZqWEYAzIbrOQGSTCE","i don't think i love you anymore - Recorded at Electric Lady Studios NYC","Alaina Castillo",9,0,0.7559999999999999,0.287,0.345,0.0,0.239,-7.827000000000001,0.0296,0.309,136.126
60,"somber","0NFjqDNm7MyB7PtjouP5Z1","San Pellegrino","Wizman",0,1,0.32,0.943,0.409,0.777,0.105,-9.556000000000001,0.15,0.18,122.01100000000001
61,"somber","4zqVm6KQHSR4DzZwgydPnX","tlking about u","toast",1,0,0.127,0.384,0.574,0.0106,0.12,-9.187999999999999,0.0464,0.13,80.786
62,"sensual","1wfMbxIYo3j9VZa11IhO4Q","Queen","Loren Oden",7,1,0.381,0.695,0.713,0.0713,0.33299999999999996,-6.816,0.0336,0.78,90.03299999999999
63,"sentimental","1y4jsQt7MjnZhiD1L6qFBC","Cradles","Sub Urban",1,1,0.256,0.534,0.589,6.02e-05,0.17600000000000002,-1.865,0.325,0.632,78.616
64,"sensual","4sw7dHjD6EsGs0d57AHgdy","oui","Jeremih",5,1,0.203,0.41,0.726,0.0,0.107,-3.845,0.15,0.552,77.226
65,"somber","3jfr0TF6DQcOLat8gGn7E2","Do I Wanna Know?","Arctic Monkeys",5,1,0.18600000000000003,0.5479999999999999,0.532,0.000263,0.217,-7.596,0.0323,0.405,85.03
66,"somber","5ACkknqH2GcrVtmBB7LaRv","Teenage Fever","Drake",8,0,0.111,0.7659999999999999,0.28300000000000003,0.0172,0.115,-10.33,0.0846,0.14400000000000002,97.04
67,"somber","6ig2Qwsl83Jt2dc8YFDlY2","No One's Gonna Ever Love U","Delacey",7,1,0.37200000000000005,0.5660000000000001,0.21899999999999997,1.16e-06,0.0921,-8.089,0.0332,0.155,139.929
68,"somber","72QN4En2X8QFxqJV6pvxzR","Body Back (feat. Maia Wright) - Acoustic","Gryffin",8,1,0.907,0.688,0.228,0.0,0.131,-12.337,0.0351,0.419,109.771
69,"sentimental","0JXXNGljqupsJaZsgSbMZV","Sure Thing","Miguel",11,0,0.0275,0.684,0.603,0.00031099999999999997,0.191,-8.127,0.0989,0.504,81.0
70,"upbeat","5ChkMS8OtdzJeqyybCc9R5","Billie Jean","Michael Jackson",11,0,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,0.847,117.046
71,"somber","7mWFF4gPADjTQjC97CgFVt","Baila Baila Baila - Remix","Ozuna",2,1,0.0598,0.785,0.5720000000000001,0.0,0.218,-7.504,0.12300000000000001,0.49,100.016
72,"serious","2AnMAbIg2PHidWQ9hk3EiQ","Endlessly - Eden Prince Remix","AVIAN GRAYS",2,1,0.0437,0.715,0.77,0.01,0.11699999999999999,-6.808,0.0393,0.233,123.991
73,"sentimental","2raTq4pOKZfeg2h61gnI0L","Des ponts plutôt que des murs","Zdenek Lemelin",1,0,0.996,0.619,0.0746,0.951,0.10099999999999999,-25.086,0.0485,0.544,75.806
74,"somber","3ekAN7Ijl9vIemCaDbh29K","Brown Skin","India.Arie",5,1,0.263,0.6970000000000001,0.445,0.00274,0.133,-7.081,0.0638,0.396,119.943
75,"energizing","5bAJhDTVCWVScr5Ev4LnB2","Rhythm & Blues","The Head and the Heart",4,1,0.00148,0.433,0.863,0.00107,0.35100000000000003,-4.452,0.0296,0.54,82.99799999999999
76,"upbeat","6TJAFFa2VaRdFB5UA4BJRt","Origins","Tennis",5,0,0.0463,0.578,0.825,0.0201,0.162,-4.659,0.0284,0.951,113.90700000000001
77,"sentimental","2LY0DjFGGF0JQugFzWSGpi","Chateau","Angus & Julia Stone",5,1,0.6579999999999999,0.6609999999999999,0.585,0.8759999999999999,0.102,-11.255,0.0367,0.606,129.98
78,"sensual","0Tfeagn4SfS9qWtxOJEcVC","Call","Joeboy",0,1,0.391,0.7609999999999999,0.633,0.00162,0.10099999999999999,-6.319,0.0409,0.7120000000000001,100.005
79,"aggressive","1jZhF1p0fLaVZHAyfjkumE","Social","Smallpools",7,1,0.00227,0.547,0.9129999999999999,0.00257,0.0792,-3.987,0.0488,0.451,91.984
80,"somber","4oP1iFJ5GSxeMMHofCg4ae","Love Again","RuthAnne",8,1,0.624,0.58,0.424,0.0,0.10300000000000001,-6.3660000000000005,0.0714,0.478,92.291
81,"somber","22LAwLoDA5b4AaGSkg6bKW","Blueberry Faygo","Lil Mosey",0,1,0.207,0.774,0.5539999999999999,0.0,0.132,-7.909,0.0383,0.349,99.03399999999999
82,"sensual","3Zzunx3r3b2hbwkdiLmBWW","Summer Ghost","TAMTAM",6,1,0.33299999999999996,0.6709999999999999,0.764,0.146,0.21,-4.079,0.031,0.647,92.979
83,"sensual","6xGNS3y6nvmbfiP2rT9P72","Galini","Yes-R",7,0,0.39,0.617,0.8220000000000001,0.0,0.175,-4.543,0.251,0.606,104.48899999999999
84,"somber","694vvR5o19xHPhhJ5QdLN7","NO HALO","BROCKHAMPTON",4,1,0.41,0.643,0.573,0.00016999999999999999,0.0695,-7.034,0.0709,0.47,165.192
